"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_027214542.2",2558.29510605782,6.16238887821835,0.359898223414893,17.1225876575509,1.00697914859586e-65,1.65023742871889e-61
"XM_027235162.2",1514.3291347031,5.45678849929836,0.349603556398449,15.6085039737959,6.37134981637581e-55,5.22068403953834e-51
"XM_072053272.1",883.501640730113,2.07763480029045,0.152730458951033,13.6032773983647,3.82883652953055e-42,8.3662630727929e-39
"XM_027240717.2",1831.57828611306,4.6627418229699,0.36221675620543,12.8727943781967,6.40425280632575e-38,9.12633869478838e-35
"XM_027245345.2",1133.10070344095,3.66540917192643,0.30299999916222,12.0970600068023,1.09461575679732e-33,8.34351768483467e-31
"XM_027264419.2",574.138059094977,2.34848127267933,0.194702275299892,12.0619097494472,1.67845164511083e-33,1.16726993465728e-30
"XM_027229013.2",1217.19915377018,3.83741933702257,0.31818335100847,12.0604026730501,1.70945072197795e-33,1.16726993465728e-30
"XM_027213765.2",2158.20800510616,4.05437891078142,0.340905665412736,11.8929643069227,1.28754259307577e-32,7.67281746011842e-30
"XM_027239578.2",356.226022229055,4.82281134678308,0.410932902213895,11.7362501780711,8.30894253375427e-32,4.53889834143883e-29
"XM_027226701.2",263.295995260146,11.7120854577448,1.00339426976355,11.6724659594725,1.76239452563276e-31,9.16892745589514e-29
"XM_072052346.1",1288.1211593207,4.69301272700774,0.409555292193228,11.4588013302819,2.12434451591781e-30,9.40912376401651e-28
"XM_072082745.1",702.708102485384,4.12653257584641,0.360497337579014,11.4467768432325,2.44052137025007e-30,1.06654037908422e-27
"XM_072066294.1",1195.16738524182,5.28971841885609,0.463980483106234,11.4007347538473,4.14605026880944e-30,1.78803873171708e-27
"XM_072078423.1",610.064556048047,3.32650977789256,0.306115604040298,10.8668415918276,1.65842927831054e-27,5.49057353797032e-25
"XM_027240939.2",360.296103474001,2.72757805953021,0.251161468537962,10.8598587012878,1.79025999171571e-27,5.75270210671315e-25
"XM_072079545.1",1758.95434147769,3.01743187023678,0.281114319075578,10.7338248729533,7.06115971505701e-27,1.97809034889494e-24
"XM_027252780.2",329.65067025195,2.77610571427206,0.25983676975069,10.6840372012618,1.20896954120867e-26,3.3298475363576e-24
"XM_027231362.2",6868.68260271384,2.36737398491369,0.223846112841127,10.5758994644411,3.85460877114277e-26,1.03533559058079e-23
"XM_027252199.2",2021.08531777873,1.91305057094109,0.18116560806202,10.5596784699123,4.58228680841973e-26,1.21120187445778e-23
"XM_027255847.2",346.953452958455,3.58669890191856,0.347636112647719,10.317394457673,5.87970949215778e-25,1.37652398796402e-22
"XM_027259849.2",3854.96484517938,4.2323336217649,0.413480607979458,10.2358696879327,1.36959052437843e-24,3.05372102224676e-22
"XM_072046007.1",1864.43204632531,5.8739997868676,0.574775857365895,10.2196355528696,1.61948597242774e-24,3.58650488056023e-22
"XM_027257339.2",2539.73329204703,5.38736012132957,0.528917907540756,10.185626246573,2.29874981341135e-24,4.95683051870859e-22
"XM_027240702.2",2662.01322205671,3.99993785876987,0.395256524408232,10.119852834203,4.51093364402705e-24,9.60067279978121e-22
"XM_027220994.2",192.793229561689,5.95919706051227,0.59139677801264,10.0764787399381,7.01968122372584e-24,1.45618399866353e-21
"XM_027263640.2",228.602112627038,4.13634005840276,0.410967915673524,10.0648734381706,7.89888608925855e-24,1.61808681538461e-21
"XM_027244421.2",632.370844482779,3.89851477076199,0.388608236715695,10.0319921258234,1.10269013934718e-23,2.20376658580751e-21
"XM_027256003.2",671.043205296164,3.37479965442728,0.337314048285664,10.0049187740003,1.45010642097764e-23,2.84602922478822e-21
"XM_072052347.1",141.09286943742,5.93825974979124,0.594521663271209,9.98829835252332,1.7150044562183e-23,3.30652859158889e-21
"XM_027232055.2",3487.14561076997,2.08454591966252,0.210385782318239,9.90820718345569,3.83465186662125e-23,7.1819742617359e-21
"XM_027233275.2",7364.51653993445,3.45049932853138,0.350545374609026,9.84323165689987,7.33171591289304e-23,1.3500242739381e-20
"XM_027269181.2",772.145597535926,2.37792061634531,0.241943557596931,9.82841055973406,8.49488687934908e-23,1.52982644152498e-20
"XM_072078458.1",3086.62501769828,3.01760045554653,0.307703164895231,9.80685543671279,1.0519565656391e-22,1.86372585921011e-20
"XM_072076299.1",853.458151519148,2.67798206994754,0.275084898103678,9.73511119079398,2.13583984155938e-22,3.68443613931318e-20
"XM_027239829.2",75.8763202475041,8.4352396503195,0.87157717133028,9.67813284673906,3.73474217048324e-22,6.21370098374409e-20
"XM_072058375.1",2584.6383893092,3.05583475119351,0.323650343171483,9.44177818953958,3.66505964760639e-21,5.587255581858e-19
"XM_027232227.2",595.834281046472,4.05383985141322,0.429587544401114,9.43658610275738,3.85122782659861e-21,5.84388163169426e-19
"XM_072059828.1",631.594767370741,3.66079983941409,0.388162192610945,9.43110871975961,4.05776791847971e-21,6.10079822459132e-19
"XM_027224601.2",2357.37494903494,3.43561348498526,0.366576363064696,9.37216315930036,7.10609618518616e-21,1.0351529269585e-18
"XM_027214511.2",97.1724889898974,6.23310285243054,0.665416692944215,9.36721744212854,7.44698551280773e-21,1.08001060693711e-18
"XM_072045495.1",1048.62578476279,1.72583115694289,0.184653940961029,9.34630015455302,9.07673447373063e-21,1.29347412656954e-18
"XM_027242139.2",7754.63068431955,3.9162642062545,0.419697648219408,9.33115594730987,1.0472246401478e-20,1.48588029460972e-18
"XM_027271163.2",9046.64047064056,2.56579075465205,0.27506327732453,9.32800183146525,1.07885550131486e-20,1.52416240996103e-18
"XM_027205707.2",8670.8169263411,3.26915930177118,0.352638208886292,9.27057595969506,1.85143431564814e-20,2.52844213040347e-18
"XM_072079327.1",2846.89515408413,1.10083718159581,0.118926046724057,9.25648511759648,2.11272620403093e-20,2.86143446542635e-18
"XM_027255035.2",1816.36374378175,5.20040907319912,0.562282857869023,9.24874198176338,2.2715030722875e-20,3.05126166792193e-18
"XM_027254847.2",534.558718003464,5.45437080897795,0.591515112965112,9.22101682514349,2.94295994613634e-20,3.87383354195039e-18
"XM_027259101.2",2510.21976811503,1.85951189766782,0.201749830452362,9.21691925836285,3.0575861824469e-20,3.99264719983584e-18
"XM_027270439.2",1721.02689121165,1.6967999808148,0.184446536370709,9.19941363064958,3.59908339955436e-20,4.6203385614241e-18
"XM_027225126.2",2248.75642293101,2.3866125492643,0.259964405526582,9.18053586770848,4.28951444758325e-20,5.42830600517331e-18
"XM_027230569.2",74.3849953267441,9.93458384387456,1.08265742119636,9.17611023521789,4.46944745931463e-20,5.63425422794216e-18
"XM_072079896.1",437.079187812168,2.33469400608823,0.254511483370025,9.17323641029548,4.59026333613378e-20,5.76438586609658e-18
"XM_027247005.2",3324.18647864038,1.76591448473977,0.193600227861072,9.12144837973533,7.41269382539669e-20,9.13377642184969e-18
"XM_027223451.2",6127.55654152878,2.56758857983958,0.281714623214239,9.11414732591632,7.92915121096012e-20,9.66118438997877e-18
"XM_027219400.2",17275.2743175564,2.75794667800413,0.304510920989368,9.05697131992328,1.34122851771644e-19,1.5985493053336e-17
"XM_027249598.2",3991.38456622571,3.11599904309712,0.344286560414346,9.05059738418786,1.42188297453907e-19,1.68601317599331e-17
"XM_027260052.2",599.71299125023,2.7342779517164,0.302749494222488,9.03148643976595,1.69355499602133e-19,1.98242709105696e-17
"XM_027214531.2",276.346488117121,4.08600309724528,0.452758099009484,9.02469355310128,1.80199007981198e-19,2.09439811545807e-17
"XM_027228544.2",432.19904969846,2.58482111389839,0.288802954428195,8.95012005336343,3.55095950505623e-19,3.99952744803172e-17
"XM_027210070.2",1868.28723733844,3.83008668193755,0.42852700122893,8.93779545035346,3.97011111460023e-19,4.45631376342935e-17
"XM_027269671.2",581.823119553323,2.42604769798139,0.272826063888237,8.8922871349096,5.98637601724437e-19,6.50280138578657e-17
"XM_072051630.1",35.0280835478369,8.56707083096961,0.963991009759716,8.88708581743417,6.27325558376822e-19,6.78588201364974e-17
