"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_027269038.2",470.614156945852,-6.24607994113844,0.582431916015592,-10.7241374817984,7.84152250243168e-27,4.71530351877473e-23
"XM_072056476.1",705.31874810302,-8.21699802478544,0.849893143253106,-9.66827193514413,4.11263554969368e-22,1.41316032681117e-18
"XM_027269556.2",388.676104298905,-3.09864926060453,0.327956548546205,-9.44835306488162,3.44203601416831e-21,8.27912922487904e-18
"XM_027254385.2",1718.25820813226,-2.90017841233788,0.327477249754317,-8.85612180544962,8.28463512480426e-19,1.66058607214097e-15
"XM_027254472.2",110.902960797318,-5.2482681387553,0.594013585995766,-8.83526616644205,9.98602074038612e-19,1.71566969191791e-15
"XR_003452094.2",1206.66425860583,-5.62358691883131,0.635952575656605,-8.84277717253537,9.3368316085342e-19,1.71566969191791e-15
"XM_027223446.2",1892.86288971861,-4.28177848226392,0.489673398142367,-8.74415171113509,2.24697371136187e-18,3.60309724529247e-15
"XM_027267991.2",2012.65743023471,-5.15721139713285,0.5956903143478,-8.65753777242341,4.8206382075761e-18,6.82063592981341e-15
"XM_027248551.2",1780.16512614901,-1.82854515243159,0.216609896136487,-8.44165102816639,3.12886308577451e-17,3.27211060009279e-14
"XM_027215302.2",312.500151337506,-7.71952564392525,0.923172844610249,-8.36195051554439,6.1689720978271e-17,6.03984003429055e-14
"XM_027262738.2",1952.47710529192,-1.54094345958469,0.187407876254233,-8.22240500444218,1.9946228049139e-16,1.77691341950348e-13
"XM_072045683.1",1892.14407788591,-3.36893694422897,0.431586779472103,-7.80593174876603,5.90635394686742e-15,4.17839798482359e-12
"XM_072054414.1",2302.36768412741,-1.82523763675842,0.238544164320341,-7.65157111245577,1.98538466646113e-14,1.22447326621511e-11
"XM_072075468.1",2260.88985288089,-3.82792816241605,0.505546811587683,-7.57185699657434,3.67926362417091e-14,2.10707923695674e-11
"XM_027256766.2",2789.83398802862,-1.79999328380669,0.239007510791645,-7.5311159797645,5.03084769454747e-14,2.75015862720341e-11
"XM_027257783.2",2496.85251380014,-3.69110350996967,0.494440246701586,-7.46521654455324,8.31627324190115e-14,4.44514045083218e-11
"XM_072064097.1",1659.07458420637,-3.24551880050224,0.435723782189417,-7.44856933030879,9.43578410710992e-14,4.78350348838099e-11
"XM_027264913.1",320.118869911546,-3.54155004762359,0.48416946696702,-7.31469101058539,2.5797430881111e-13,1.17076529242144e-10
"XM_027205369.2",2956.98646921013,-2.12193391960414,0.29991473129305,-7.07512402093637,1.49315161648787e-12,6.08725014091231e-10
"XM_027247866.2",2175.08322850332,-2.75394267340062,0.39137374890885,-7.0366054981424,1.96979524477139e-12,7.85016577701604e-10
"XM_027261074.2",7148.75050220815,-2.61029083029806,0.374735702741694,-6.96568491125955,3.26809854062916e-12,1.19102385148111e-09
"XM_072074581.1",6380.46655312153,-1.97237047076733,0.284859503270999,-6.92401147976071,4.39030310511144e-12,1.55294059687126e-09
"XM_027205905.2",445.961328288807,-1.81106429720645,0.262163479386485,-6.90814869197154,4.91019184102359e-12,1.68721206217343e-09
"XM_027235230.2",560.892845770142,-5.52940978739064,0.800833228157077,-6.90457088065043,5.03554100708665e-12,1.702679197767e-09
"XM_027250767.2",1122.44439290933,-2.32277079564465,0.338218760550201,-6.8676580561825,6.52644262135063e-12,2.06553321541246e-09
"XM_072078051.1",379.810135153521,-2.78545020753778,0.408157272622837,-6.82445320559489,8.82608370620117e-12,2.62091100475626e-09
"XM_027271000.2",7595.11485876974,-1.23851467997275,0.183332722376405,-6.75555713087556,1.42287425659645e-11,3.90306678790721e-09
"XM_027268047.2",657.811351724886,-2.652898957755,0.392728904079629,-6.75503873078084,1.42797105282432e-11,3.90306678790721e-09
"XR_003453566.2",10527.9783891235,-4.79891676716052,0.711166858171152,-6.74794770316137,1.49950971361015e-11,4.05255136420956e-09
"XM_072069464.1",1107.89163115638,-1.56688094214428,0.233626928432338,-6.70676515185221,1.98986116133588e-11,5.25957478171559e-09
"XM_027236486.2",312.715545134014,-2.4103045454778,0.360420880921766,-6.68747198917419,2.27058653368093e-11,5.87251805318573e-09
"XM_027249819.2",3422.4740933628,-4.74435975485739,0.719561524157859,-6.59340389330844,4.29855059764386e-11,1.07701080755341e-08
"XM_027215981.2",309.62333272175,-3.30085924655947,0.502918501653806,-6.56340785973248,5.25917378371584e-11,1.25246442593779e-08
"XM_027210905.2",495.617354573816,-5.23090431327849,0.798299711718178,-6.55255693631659,5.65601425422767e-11,1.32081661026154e-08
"XM_072071673.1",183.02346058879,-3.3865230748535,0.5167730226336,-6.55321180969347,5.63125534886415e-11,1.32081661026154e-08
"XM_027266989.2",9015.20639628313,-1.08372701623598,0.165647065823829,-6.54238583005483,6.05450543385532e-11,1.38694304000497e-08
"XM_027237410.2",259.044070430338,-4.61750511892909,0.707000046529926,-6.53112420797222,6.52778333760281e-11,1.48125257188076e-08
"XM_027262873.1",1158.83771967096,-5.83050844563053,0.894141852962636,-6.52078685983864,6.99395101349423e-11,1.5722009694166e-08
"XM_027222222.2",325.638668269081,-2.98999945378374,0.459329158754771,-6.50949193360497,7.54054043299039e-11,1.67937610217331e-08
"XM_027232022.2",183.972907316181,-3.56084724641545,0.547274121050774,-6.50651494278329,7.69142552457494e-11,1.68183507402365e-08
"XM_027254384.2",1194.83960252941,-3.23563165141947,0.500038314428156,-6.47076745532938,9.75063977680825e-11,2.05729946097867e-08
"XM_027270046.2",183.057746707329,-2.02185331255719,0.314546208268405,-6.42784194947893,1.29428206631668e-10,2.68373849492372e-08
"XM_027227981.2",163.3435639187,-10.3100149436472,1.60807915661349,-6.41138522394593,1.44203303731529e-10,2.91472442407938e-08
"XM_027269576.2",107.311742892656,-4.12808422447175,0.645115534537789,-6.3989843732866,1.56413847962542e-10,3.13518523753584e-08
"XM_027261191.2",4581.03709931454,-2.79481207917653,0.438680455243874,-6.37095189851305,1.87858558859614e-10,3.73094328605958e-08
"XM_027269710.2",326.103608686529,-4.69750178068354,0.738896321808415,-6.35745725352458,2.0512072535284e-10,3.99209785083708e-08
"XM_027256828.2",917.114865127152,-2.9070522119049,0.459363333186671,-6.32843764812103,2.47655891110645e-10,4.69044657392469e-08
"XM_027223675.2",1970.69178282913,-1.30753184316737,0.206796366019333,-6.3227989366367,2.56867443190512e-10,4.82690047739171e-08
"XM_027241931.2",356.467168839517,-3.13372645878406,0.49596089086721,-6.31849510009669,2.64122669097498e-10,4.92476167426521e-08
"XM_027266610.2",709.289872066308,-4.85930370727361,0.773126908447056,-6.28526009660467,3.27305240934527e-10,5.91930297759261e-08
"XM_027243551.1",1015.5765815492,-3.78953017771357,0.603728532606196,-6.27687772409033,3.45439532694278e-10,6.20063961186228e-08
"XM_027214056.2",950.202780298447,-1.69069952807539,0.269479270011607,-6.27395023002166,3.52001068474964e-10,6.27161607409504e-08
"XM_072075195.1",753.235632218561,-2.27462348887215,0.364103240155028,-6.24719375719827,4.17892544806486e-10,7.3572855813729e-08
"XM_027249391.2",789.906492586803,-1.55013502291706,0.249186944058526,-6.22077143236277,4.94716413787016e-10,8.44117593186271e-08
"XM_072072759.1",70.126176484307,-2.89988580197728,0.468229251339027,-6.19330337368774,5.89161737547887e-10,9.90986522604149e-08
"XR_003458785.2",480.799217113599,-2.73229125512804,0.44136768183517,-6.19051046911138,5.99696843239409e-10,1.00170195628038e-07
"XM_027237318.2",85585.3892994934,-4.25633453296746,0.691133885806383,-6.15848046287206,7.34462429793715e-10,1.21000170026221e-07
"XM_027255001.2",3085.24928943461,-2.85525035269368,0.463711223382296,-6.15738892810826,7.39540753389308e-10,1.2100798463451e-07
"XR_011841719.1",147.164895791736,-9.86323880031707,1.60714336341213,-6.13712443137392,8.40285690245888e-10,1.32969682286081e-07
"XM_027223689.2",369.557335614628,-2.52487981101358,0.411638549062757,-6.13373022707027,8.58420389311954e-10,1.34951540026931e-07
"XM_027235504.2",4135.69951580616,-1.32195027985531,0.216268940875021,-6.11252949455765,9.8064175787352e-10,1.51201129500845e-07
"XR_003460036.2",3019.86399569717,-3.63285919686997,0.594699562761518,-6.1087302301024,1.00426911324232e-09,1.52884082157072e-07
"XM_027224620.2",581.540708566791,-4.47752772716118,0.733911789653091,-6.10090720749647,1.05468126110047e-09,1.5954873190723e-07
