"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_072063435.1",39.4138623863102,-8.24332160954191,1.0911681336561,-7.55458426184201,4.2019985952186e-14,1.27278537449171e-09
"XM_027269338.2",30.4839381641358,-8.19082212017138,1.1769182408947,-6.95955065998864,3.41359751184309e-12,2.58494671584318e-08
"XM_027214224.2",19.6443329487472,-7.7059064522005,1.1946267209395,-6.45047219950036,1.11502185942339e-10,4.82485887456208e-07
"XM_027265266.2",2314.50131259429,-1.76496959269629,0.281377904661375,-6.27259483938637,3.55080031860746e-10,1.19504157389578e-06
"XM_027248143.2",734.236221956509,-2.68805443231477,0.433516420469166,-6.20058273549516,5.62544776507634e-10,1.70394812804162e-06
"XM_027235874.2",7024.05062537516,-2.27154385870639,0.387999175491608,-5.85450692215586,4.78427285969511e-09,1.20763020766804e-05
"XM_072051840.1",5388.51412191156,-3.84999828278626,0.663147496467352,-5.80564399819883,6.41190704741112e-09,1.31444031437699e-05
"XM_027233113.2",10186.8814355828,-4.27555198590275,0.734668806197205,-5.81969991081271,5.89533752608019e-09,1.31444031437699e-05
"XM_027249506.2",857.238680858607,-2.26166065057233,0.395794226544237,-5.71423355595499,1.10199562380363e-08,1.58949749738152e-05
"XM_027213919.2",18.3988234130785,-9.13070125678389,1.59407048735188,-5.72791562809253,1.01672107783717e-08,1.58949749738152e-05
"XM_027250221.2",2016.9499725933,-1.54258430253127,0.27114832475667,-5.68907922966369,1.27726200989729e-08,1.75855755817222e-05
"XM_027207611.2",10430.5205415068,-3.50150218758186,0.620290166031682,-5.64494228561253,1.65236670022986e-08,1.88993554233594e-05
"XM_027223252.2",17857.7991921604,-2.74770337506546,0.486784814083515,-5.64459550826097,1.65570048842285e-08,1.88993554233594e-05
"XM_027213925.2",681.631885618621,-2.17876536987757,0.388904056826237,-5.60232101371738,2.11500389370085e-08,2.22755468376475e-05
"XM_027261995.2",2958.69938758491,-3.34558523951421,0.598805385873665,-5.58709944572886,2.30893519631227e-08,2.33125490320995e-05
"XM_027207825.2",29.94673218914,-5.66422999456357,1.01716490083045,-5.56864475950661,2.56728290943067e-08,2.38399623194567e-05
"XM_027238041.2",19384.4244833046,-1.61767981426344,0.290603633142901,-5.56661937350235,2.59728873074305e-08,2.38399623194567e-05
"XM_027206790.2",12.7388714065064,-7.96047718104696,1.47719604061154,-5.38891045074248,7.08861131969125e-08,5.96427880204023e-05
"XM_027232564.2",10316.4116905699,-2.70747635506367,0.506695216898406,-5.34340223623333,9.12180365343392e-08,7.46755223412198e-05
"XM_027245889.1",1085.76792710459,-3.22676652538172,0.606299479736928,-5.32206711901155,1.02594702049562e-07,8.17787769758215e-05
"XM_027235473.2",17.6189005194983,-8.44501884226705,1.60210366702425,-5.27120623720487,1.35530073919298e-07,0.000102630148475388
"XM_072064991.1",11902.8795180832,-2.83670736751803,0.540129971857274,-5.25189771966146,1.50540055005854e-07,0.000108568053955412
"XR_003451287.2",25.8801582958734,-8.37075635529501,1.60040849101389,-5.23038736815996,1.69155212147567e-07,0.000113860252798885
"XM_027244669.2",947.614433293683,-1.42194588868943,0.271699101064058,-5.23353181192225,1.66301369153151e-07,0.000113860252798885
"XM_072056913.1",200.948895449751,-4.64591303075851,0.891762912128614,-5.20980741357458,1.8903674933629e-07,0.000124476589943396
"XM_027271714.2",277.297724684689,-3.15208627258263,0.605799635032614,-5.20318285172445,1.95903942057547e-07,0.000126253838402619
"XM_027233007.2",3372.22820308236,-5.01297116027146,0.969945911920282,-5.16829969451272,2.36233287241598e-07,0.00014311012541096
"XM_072075300.1",155.348633502509,-2.47682697095696,0.481326413881989,-5.14583637947661,2.66331489460868e-07,0.000152210958788107
