"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_027237318.2",85585.3892994934,5.17941112193338,0.713783881395649,7.25627358214669,3.97899897756326e-13,6.02619395151955e-09
"XM_027249819.2",3422.4740933628,5.2378691135982,0.742716523987031,7.05231261784834,1.75968298942907e-12,1.77669325832688e-08
"XM_027215302.2",312.500151337506,6.46306647748178,0.935386688680444,6.90951299146589,4.86320335028696e-12,2.94612858960384e-08
"XM_027234283.2",37730.4382142402,5.33191476341035,0.802904237875074,6.64078542856061,3.12015983140488e-11,1.5751606882209e-07
"XM_027256186.2",16983.5669053339,5.3493992139147,0.841291448868269,6.35855650394507,2.03658471111618e-10,7.71101886246362e-07
"XM_027231341.2",170.477488614638,9.86707469787561,1.64536201692685,5.99690195614517,2.01117400355301e-09,5.53804186978371e-06
"XM_027246335.2",4887.90896975166,3.64238976823924,0.630209831019482,5.77964606224405,7.48579401272133e-09,1.34697363583814e-05
"XM_072056750.1",33.5926969391952,21.4462850224369,3.71171987009216,5.77799127440735,7.55977279935571e-09,1.34697363583814e-05
"XR_011841719.1",147.164895791736,9.29877762795959,1.61778912061953,5.74783048633596,9.03957956626749e-09,1.5211603614569e-05
"XM_027220771.2",2343.68477135158,3.07908885906324,0.538618993990841,5.71663623714613,1.08653364149703e-08,1.58949749738152e-05
"XM_027249820.2",22266.4506208828,5.84138676349149,1.0354109924919,5.64161169414781,1.68465697071873e-08,1.88993554233594e-05
"XM_027269038.2",470.614156945852,3.38174442221641,0.597578206424969,5.65908258677607,1.52184312611248e-08,1.88993554233594e-05
"XM_072047770.1",548.990162219476,3.87437901363349,0.686216657523119,5.64599965791848,1.64224171193745e-08,1.88993554233594e-05
"XM_027266610.2",709.289872066308,4.46371206115089,0.79696647346257,5.60087809184427,2.13268688772459e-08,2.22755468376475e-05
"XM_027256184.2",714.106034072875,5.70152365930806,1.02171815807456,5.58032918789723,2.40063804191512e-08,2.34565568676158e-05
"XM_027245685.2",13650.8204703354,4.32211546730282,0.780217820727313,5.53962669459892,3.03117088721754e-08,2.70041665217116e-05
"XM_027243551.1",1015.5765815492,3.36684306885599,0.6229284319548,5.40486337778893,6.4857809989446e-08,5.6129801845152e-05
"XM_027227981.2",163.3435639187,8.5847714084138,1.61936317097739,5.30132558420008,1.14964849540456e-07,8.92893664764209e-05
"XM_027269244.2",9587.36407629384,3.80425612806847,0.723636121352764,5.25713962558531,1.46313228026594e-07,0.000108093357973794
"XM_072056476.1",705.31874810302,4.55222074233744,0.869208314954546,5.23720339994158,1.63027994929251e-07,0.000113860252798885
"XM_027254125.2",63.5983178861917,4.03943969839592,0.781125377298783,5.17130772573891,2.32461384835971e-07,0.00014311012541096
"XR_011825485.1",4070.07251025194,4.02703331840023,0.779087894596148,5.16890757298662,2.35466305632512e-07,0.00014311012541096
"XM_072074551.1",75.8710051348847,8.79181319791576,1.70800233044381,5.14742459141216,2.64087112360479e-07,0.000152210958788107
"XM_027267991.2",2012.65743023471,3.14571814203773,0.614778458267532,5.1168320876149,3.10709993307546e-07,0.000172014643877369
"XR_003449443.2",233.537128158947,24.0909970661299,4.70909518775625,5.11584414958675,3.12340885218069e-07,0.000172014643877369
"XM_072046110.1",237.75518035191,23.1466104591665,4.54975284614302,5.08744348141651,3.62922491452864e-07,0.00018953314251909
"XM_027261112.2",292986.335001559,2.11002441259997,0.416220296070848,5.06948948073596,3.98884181804713e-07,0.000201370031114413
"XR_003454052.2",24907.0510172669,2.69300582515134,0.533533964373515,5.0474871422919,4.476588876283e-07,0.000222288323053462
"XM_027214855.2",455.402169473559,24.8437460133698,4.92771589702197,5.04163521853683,4.61570526120978e-07,0.000225499536067813
"XM_072062950.1",89.0098768246934,22.2470877332109,4.4333931925957,5.01807233573739,5.21925264780239e-07,0.000246481605061803
"XM_072074279.1",80.4100544048468,3.22168880356837,0.643407549684959,5.00722878546553,5.52192780285166e-07,0.000253423019921783
"XM_027218439.2",180.762302133991,7.21075308391187,1.44102046851879,5.00392134701855,5.6175684967296e-07,0.000253964402635731
"XM_027210474.2",2530.43732251215,2.87744880651822,0.576583937939918,4.99051155812471,6.0219596949798e-07,0.000268242881119027
"XR_003459686.2",303.595936967598,3.81494628817248,0.76668305561909,4.97591052810206,6.49416408138258e-07,0.000273205875034831
"XR_011823191.1",23666.5631467503,2.53548281645519,0.511021847696254,4.96159377115762,6.99171022360707e-07,0.000283680740251099
"XM_027265583.2",217.245720230897,3.80393630470889,0.769712108900535,4.9420247657822,7.73153916337931e-07,0.000308142527972052
"XR_003454048.2",2946.67333475242,3.08315055070048,0.62566318089477,4.9278120318527,8.31555573888024e-07,0.000327114523806081
"XM_027260052.2",599.71299125023,2.23688410300869,0.458721743778902,4.876341994564,1.08071177686244e-06,0.000394243098970229
"XM_027237634.2",227.475787909134,2.9875899467129,0.616476836379797,4.84623228385555,1.25828185765111e-06,0.000438084568600598
"XR_011815568.1",349.098906142553,5.22411985150009,1.09601841862502,4.76645260948612,1.87497805731324e-06,0.000611927375584951
"unassigned_transcript_152",79.0028296525637,8.76543921156342,1.84374328237518,4.75415384308353,1.9927925483128e-06,0.000622289551524517
"XM_027269296.2",103.264604005404,23.2035553030284,4.9278385174452,4.70866795267027,2.4934086827171e-06,0.000770666826525521
"XR_011813069.1",92.7823828585437,22.9884953249239,4.92787347420593,4.66499301275755,3.08627525664326e-06,0.000907456346156511
"XM_027253291.2",63.2502995884765,5.949361298694,1.27658152396986,4.66038493193364,3.1561856825434e-06,0.000910484422135614
"XM_027259853.2",67.2819806711401,9.01164066793472,1.94624931725181,4.6302601563193,3.65206588387244e-06,0.00104359505304242
"XM_027256185.2",34632.3704386017,2.8867814125417,0.624017520904664,4.62612236969983,3.72575223603824e-06,0.00104493551138517
"XM_027270536.2",2008.5388404709,3.04959866681052,0.659028770512991,4.62741355652303,3.70260694048453e-06,0.00104493551138517
